Color,HEX
Grünbeige,#BEBD7F
Beige,#C2B078
Sandgelb,#C6A664
Signalgelb,#E5BE01
Goldgelb,#CDA434
Honiggelb,#A98307
Maisgelb,#E4A010
Narzissengelb,#DC9D00
Braunbeige,#8A6642
Zitronengelb,#C7B446
Perlweiß,#EAE6CA
Elfenbein,#E1CC4F
Hellelfenbein,#E6D690
Schwefelgelb,#EDFF21
Safrangelb,#F5D033
Zinkgelb,#F8F32B
Graubeige,#9E9764
Olivgelb,#999950
Rapsgelb,#F3DA0B
Verkehrsgelb,#FAD201
Ockergelb,#AEA04B
Leuchtgelb,#FFFF00
Currygelb,#9D9101
Melonengelb,#F4A900
Ginstergelb,#D6AE01
Dahliengelb,#F3A505
Pastellgelb,#EFA94A
Perlbeige,#6A5D4D
Perlgold,#705335
Sonnengelb,#F39F18
Gelborange,#ED760E
Rotorange,#C93C20
Blutorange,#CB2821
Pastellorange,#FF7514
Reinorange,#F44611
Leuchtorange,#FF2301
Leuchthellorange,#FFA420
Hellrotorange,#F75E25
Verkehrsorange,#F54021
Signalorange,#D84B20
Tieforange,#EC7C26
Lachsorange,#E55137
Perlorange,#C35831
Feuerrot,#AF2B1E
Signalrot,#A52019
Karminrot,#A2231D
Rubinrot,#9B111E
Purpurrot,#75151E
Weinrot,#5E2129
Schwarzrot,#412227
Oxidrot,#642424
Braunrot,#781F19
Beigerot,#C1876B
Tomatenrot,#A12312
Altrosa,#D36E70
Hellrosa,#EA899A
Korallenrot,#B32821
Rosé,#E63244
Erdbeerrot,#D53032
Verkehrsrot,#CC0605
Lachsrot,#D95030
Leuchtrot,#F80000
Leuchthellrot,#FE0000
Himbeerrot,#C51D34
Reinrot,#CB3234
Orientrot,#B32428
Perlrubinrot,#721422
Perlrosa,#B44C43
Rotlila,#6D3F5B
Rotviolett,#922B3E
Erikaviolett,#DE4C8A
Bordeauxviolett,#641C34
Blaulila,#6C4675
Verkehrspurpur,#A03472
Purpurviolett,#4A192C
Signalviolett,#924E7D
Pastellviolett,#A18594
Telemagenta,#CF3476
Perlviolett,#8673A1
Perlbrombeer,#6C6874
Violettblau,#354D73
Grünblau,#1F3438
Ultramarinblau,#20214F
Saphirblau,#1D1E33
Schwarzblau,#18171C
Signalblau,#1E2460
Brillantblau,#3E5F8A
Graublau,#26252D
Azurblau,#025669
Enzianblau,#0E294B
Stahlblau,#231A24
Lichtblau,#3B83BD
Kobaltblau,#1E213D
Taubenblau,#606E8C
Himmelblau,#2271B3
Verkehrsblau,#063971
Türkisblau,#3F888F
Capriblau,#1B5583
Ozeanblau,#1D334A
Wasserblau,#256D7B
Nachtblau,#252850
Fernblau,#49678D
Pastellblau,#5D9B9B
Perlenzian,#2A6478
Perlnachtblau,#102C54
Patinagrün,#316650
Smaragdgrün,#287233
Laubgrün,#2D572C
Olivgrün,#424632
Blaugrün,#1F3A3D
Moosgrün,#2F4538
Grauoliv,#3E3B32
Flaschengrün,#343B29
Braungrün,#39352A
Tannengrün,#31372B
Grasgrün,#35682D
Resedagrün,#587246
Schwarzgrün,#343E40
Schilfgrün,#6C7156
Gelboliv,#47402E
Schwarzoliv,#3B3C36
Türkisgrün,#1E5945
Maigrün,#4C9141
Gelbgrün,#57A639
Weißgrün,#BDECB6
Chromoxidgrün,#2E3A23
Blassgrün,#89AC76
Braunoliv,#25221B
Verkehrsgrün,#308446
Farngrün,#3D642D
Opalgrün,#015D52
Lichtgrün,#84C3BE
Kieferngrün,#2C5545
Minzgrün,#20603D
Signalgrün,#317F43
Minttürkis,#497E76
