ID,Condition,Repetition,Color,HEX,Delaytime(ms),Pressed Key,Correct?,Timestamp(Teststart),Timestamp(Color),Timestamp(Keystroke)
567587,easy,0,Hautfarbe, #F6D8CE,600,,,1620145247.1087434,1620145247.1106954,
567587,easy,1,Weiß, #FFFFFF,1600,,,1620145247.1087434,1620145247.7110193,
567587,easy,2,Violett, #610B4B,2800,,,1620145247.1087434,1620145249.3111565,
567587,easy,3,Blau, #0000FF,2800,,,1620145247.1087434,1620145252.1173418,
567587,easy,4,Grün, #01DF01,9000,,,1620145247.1087434,1620145254.930787,
567587,easy,5,Rot, #FF0000,7300,,,1620145247.1087434,1620145263.9309754,
567587,easy,6,Schwarz, #000000,7300,,,1620145247.1087434,1620145271.2444468,
567587,easy,7,Türkis, #2EFEF7,6100,,,1620145247.1087434,1620145278.555007,
567587,easy,8,Orange, #FF8000,900,,,1620145247.1087434,1620145284.6702137,
567587,easy,9,Pink, #FF00FF,2900,,,1620145247.1087434,1620145285.569637,
567587,hard,0,Pink, #FFFFFF,1800,,,1620145291.4935346,1620145291.494513,
567587,hard,1,Blau, #2EFEF7,9500,G,False,1620145291.4935346,1620145293.294785,1620145302.7755356
567587,hard,2,Hautfarbe, #FF0000,8800,G,False,1620145291.4935346,1620145302.7901738,1620145303.1209435
567587,hard,3,Grün, #610B4B,9500,,,1620145291.4935346,1620145311.601355,
567587,hard,4,Türkis, #F6D8CE,6000,,,1620145291.4935346,1620145321.1024392,
567587,hard,5,Violett, #000000,1700,,,1620145291.4935346,1620145327.1017585,
567587,hard,6,Weiß, #FF00FF,3400,,,1620145291.4935346,1620145328.802266,
567587,hard,7,Rot, #0000FF,5500,,,1620145291.4935346,1620145332.1973302,
567587,hard,8,Schwarz, #FF8000,5900,,,1620145291.4935346,1620145337.7065809,
567587,hard,9,Orange, #01DF01,8900,,,1620145291.4935346,1620145343.60211,
1,easy,0,Blau, #0000FF,9400,B,True,1620153618.930153,1620153618.9379864,1620153620.3109932
1,easy,1,Pink, #FF00FF,3900,P,True,1620153618.930153,1620153628.3372474,1620153629.8369718
1,easy,2,Weiß, #FFFFFF,8400,W,True,1620153618.930153,1620153632.2506368,1620153634.1495764
1,easy,3,Türkis, #2EFEF7,3800,T,True,1620153618.930153,1620153640.6541696,1620153642.4532228
1,easy,4,Rot, #FF0000,2200,,,1620153618.930153,1620153644.461466,
1,easy,5,Hautfarbe, #F6D8CE,1800,R,False,1620153618.930153,1620153646.665695,1620153647.1494908
1,easy,6,Grün, #01DF01,5800,G,True,1620153618.930153,1620153648.4649982,1620153649.6853063
1,easy,7,Orange, #FF8000,5100,O,True,1620153618.930153,1620153654.2748463,1620153655.4609756
1,easy,8,Schwarz, #000000,2400,S,True,1620153618.930153,1620153659.3840618,1620153660.429262
1,easy,9,Violett, #610B4B,6200,V,True,1620153618.930153,1620153661.792519,1620153662.933199
1,hard,0,Hautfarbe, #000000,8200,H,True,1620153671.030376,1620153671.0313494,1620153672.2136989
1,hard,1,Schwarz, #FF8000,700,,,1620153671.030376,1620153679.2267754,
1,hard,2,Violett, #F6D8CE,8600,S,False,1620153671.030376,1620153679.9266028,1620153680.62177
1,hard,3,Rot, #0000FF,1800,R,True,1620153671.030376,1620153688.5295727,1620153690.2139914
1,hard,4,Pink, #FF0000,2000,,,1620153671.030376,1620153690.330927,
1,hard,5,Weiß, #FFFFFF,1800,P,False,1620153671.030376,1620153692.322446,1620153692.854108
1,hard,6,Türkis, #2EFEF7,5600,T,True,1620153671.030376,1620153694.1239378,1620153695.2850933
1,hard,7,Blau, #FF00FF,3900,B,True,1620153671.030376,1620153699.732025,1620153701.3017402
1,hard,8,Grün, #01DF01,8900,G,True,1620153671.030376,1620153703.6352818,1620153704.7254486
1,hard,9,Orange, #610B4B,6700,O,True,1620153671.030376,1620153712.5402524,1620153713.7332315
